Dropout_signaOUT,N_d,psi_0 ,x_0,X_d,y_0,Y_d,u_hat1,u_hat,u_real  ,Absolute Time
0.000000,0.000000,0.000000,0.000000,0.978500,0.000000,0.000000,1.000000,0.531696,0.029324,3571747844.825833
0.000000,0.000000,0.000000,0.000000,0.978500,0.000000,0.000000,1.000000,0.531696,0.029896,3571747844.835832
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.531696,0.029884,3571747844.845831
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.555105,0.029290,3571747844.855830
0.000000,0.000000,0.000000,0.000000,0.978500,0.000000,0.000000,1.000000,0.555105,0.029861,3571747844.865832
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.593217,0.030432,3571747844.875833
0.000000,0.000000,0.000000,0.000000,0.978500,0.000000,0.000000,1.000000,0.593217,0.030421,3571747844.885833
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.644342,0.030409,3571747844.895832
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.573876,0.030980,3571747844.905832
0.000000,0.000000,0.000000,0.000000,0.978500,0.000000,0.000000,1.000000,0.573876,0.030968,3571747844.915831
0.000000,0.000000,0.000000,0.000000,0.978500,0.000000,0.000000,0.000000,0.679845,0.031539,3571747844.925832
0.000000,0.000000,0.000000,0.000000,0.978500,0.000000,0.000000,1.000000,0.679845,0.031526,3571747844.935833
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.611829,0.031514,3571747844.945833
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.654642,0.032085,3571747844.955830
0.000000,0.000000,0.000000,0.000000,-0.978500,0.000000,0.000000,0.000000,0.575632,0.032655,3571747844.965832
0.000000,0.000000,0.000000,0.000000,-0.978500,0.000000,0.000000,0.000000,0.539908,0.033225,3571747844.975831
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.551369,0.033212,3571747844.985830
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.575342,0.033199,3571747844.995833
0.000000,0.000000,0.000000,0.000000,-0.978500,0.000000,0.000000,1.000000,0.575342,0.032604,3571747845.005832
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.571810,0.032009,3571747845.015831
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.567049,0.031996,3571747845.025831
0.000000,0.000000,0.000000,0.000000,-0.978500,0.000000,0.000000,0.000000,0.546957,0.031984,3571747845.035831
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.546957,0.031389,3571747845.045831
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.632111,0.031377,3571747845.055832
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.629601,0.031365,3571747845.065833
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.565268,0.030770,3571747845.075832
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.582176,0.030758,3571747845.085831
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.565652,0.030746,3571747845.095830
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.565652,0.030734,3571747845.105831
0.000000,0.000000,0.000000,0.000000,-0.978500,0.000000,0.000000,0.000000,0.519118,0.030722,3571747845.115832
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.519118,0.030711,3571747845.125834
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.519118,0.030699,3571747845.135832
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.519118,0.030687,3571747845.145833
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.587452,0.030092,3571747845.155832
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.606390,0.030081,3571747845.165831
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.580263,0.030069,3571747845.175833
0.000000,0.000000,0.000000,0.000000,-0.978500,0.000000,0.000000,1.000000,0.580263,0.030058,3571747845.185832
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.560156,0.030046,3571747845.195831
0.000000,0.000000,0.000000,0.000000,-0.978500,0.000000,0.000000,0.000000,0.548375,0.030034,3571747845.205833
0.000000,0.000000,0.000000,0.000000,-0.978500,0.000000,0.000000,1.000000,0.548375,0.030023,3571747845.215832
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.592205,0.029429,3571747845.225832
0.000000,0.000000,0.000000,0.000000,0.978500,0.000000,0.000000,0.000000,0.604871,0.029417,3571747845.235833
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.541982,0.028823,3571747845.245833
0.000000,0.000000,0.000000,0.000000,-0.978500,0.000000,0.000000,0.000000,0.603221,0.028229,3571747845.255832
0.000000,0.000000,0.000000,0.000000,0.978500,0.000000,0.000000,0.000000,0.591109,0.028218,3571747845.265832
