Dropout_signaOUT,N_d,psi_0 ,x_0,X_d,y_0,Y_d,u_hat1,u_hat,u_real  ,Absolute Time
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.054149,0.000000,3571745744.476829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.100368,0.000000,3571745744.486830
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.035291,0.000000,3571745744.496827
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.035291,0.000000,3571745744.506830
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.046136,0.000000,3571745744.516829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.046136,0.000000,3571745744.526829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.004511,0.000000,3571745744.536829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.012806,0.000000,3571745744.546827
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.022747,0.000000,3571745744.556828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.022747,0.000000,3571745744.566828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.022018,0.000000,3571745744.576828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.014838,0.000000,3571745744.586829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.066788,0.000000,3571745744.596829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.066788,0.000000,3571745744.606829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.011540,0.000000,3571745744.616828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.011540,0.000000,3571745744.626828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.042694,0.000000,3571745744.636827
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.016085,0.000000,3571745744.646830
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.062337,0.000000,3571745744.656829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.062337,0.000000,3571745744.666828
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.062337,0.000000,3571745744.676829
0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1.000000,-0.062337,0.000000,3571745744.686828
