Dropout_signaOUT,N_d,psi_0 ,x_0,X_d,y_0,Y_d,u_hat1,u_hat,u_real  ,Absolute Time
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050139,0.000000,3571748385.707842
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.052685,0.000000,3571748385.717843
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.041253,0.000000,3571748385.727841
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.041253,0.000000,3571748385.737834
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.041253,0.000000,3571748385.747841
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.041253,0.000000,3571748385.757842
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079403,0.000000,3571748385.767842
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000364,0.000000,3571748385.777843
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015732,0.000000,3571748385.787841
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041074,0.000000,3571748385.797841
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020324,0.000000,3571748385.807843
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.056211,0.000000,3571748385.817841
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.056211,0.000000,3571748385.827843
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.056211,0.000000,3571748385.837838
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,-0.056211,0.000000,3571748385.847840
