Dropout_signaINl,L2_continuous,PosXRight,PosYRight,R2_continuous,Select,K_phi,NoiseEnable,NoisePowHead,NoisePowPos,psi_in,r_in,ResetIntegra_Select,u_in,v_in,x_in,y_in,Dropout_signaOUT,u_hat,u_real  ,Absolute Time
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000100,1.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.005954,0.000000,0.011676,0.000000,0.000000,0.029254,0.005956,3571660765.033756
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000100,1.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.005951,0.000000,0.011735,0.000000,0.000000,0.028418,0.005954,3571660765.043755
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000100,1.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.005949,0.000000,0.011795,0.000000,0.000000,0.027837,0.005951,3571660765.053758
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000100,1.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.005947,0.000000,0.011854,0.000000,0.000000,0.027675,0.005949,3571660765.063754
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000100,1.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.005944,0.000000,0.011914,0.000000,0.000000,0.027347,0.005947,3571660765.073756
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000100,1.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.005942,0.000000,0.011973,0.000000,0.000000,0.027347,0.005944,3571660765.083754
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000100,1.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.005940,0.000000,0.012033,0.000000,0.000000,0.027050,0.005942,3571660765.093754
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000100,1.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.005938,0.000000,0.012092,0.000000,0.000000,0.027270,0.005940,3571660765.103755
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000100,1.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.005935,0.000000,0.012152,0.000000,0.000000,0.027379,0.005938,3571660765.113755
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.000100,1.000000,0.100000,0.100000,0.000000,0.000000,0.000000,0.005933,0.000000,0.012211,0.000000,0.000000,0.027379,0.005935,3571660765.123754
