Dropout_signaINl,L2_continuous,PosXRight,PosYRight,R2_continuous,Select,K_phi,NoiseEnable,NoisePowHead,NoisePowPos,psi_in,r_in,ResetIntegra_Select,u_in,v_in,x_in,y_in,Dropout_signaOUT,u_hat,u_real  ,Absolute Time
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.001000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3571661621.179787
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.001000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3571661621.189787
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.001000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3571661621.199787
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.001000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3571661621.209785
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.001000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3571661621.219787
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.001000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3571661621.229786
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.001000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3571661621.239788
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.001000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3571661621.249787
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.001000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3571661621.259787
0.000000,-1.000000,0.000000,0.000000,-1.000000,0.000000,0.001000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3571661621.269787
